Product,Nodogoshi,Smell,Taste,Happy,Relieved,Refresh
Asahi Super Dry,4.08,3.47,3.72,3.53,3.42,3.9
Kirin Lagar Beer,3.72,3.7,3.73,3.53,3.54,3.58
Kirin Ichiban Shibori,3.97,3.93,4,3.76,3.75,3.8
Sapporo Nama Beer Kurolabel,3.68,3.68,3.68,3.55,3.56,3.56
Ebisu,3.85,4.08,4.09,3.9,3.81,3.6
Suntory The Premium,3.95,4.02,4.04,3.92,3.86,3.82
Asahi Honnama Draft,3.52,3.26,3.3,3.31,3.32,3.45
Kirin Tanrei,3.72,3.29,3.39,3.32,3.35,3.53
Kirin Nodogoshi,3.62,3.28,3.29,3.3,3.33,3.47
Suntory Kinmugi,3.31,3.28,3.26,3.26,3.31,3.23